time,ultrasonic,pressure
21048093,107.84,1022.00
21054508,107.98,1023.00
21060888,107.96,1022.00
21066617,107.94,1022.00
21075104,108.13,1023.00
21081486,108.08,1023.00
21087215,108.06,1023.00
21092911,108.15,1023.00
21100011,108.14,1023.00
21107813,108.07,1022.00
21114896,108.10,1023.00
21120609,107.93,1023.00
21127041,108.17,1021.00
21132752,108.04,1023.00
21135508,107.89,1022.00
21142631,108.08,1023.00
21149749,108.36,1023.00
21156164,108.14,1023.00
21161893,108.17,1023.00
21166019,108.14,1023.00
21171054,108.18,1023.00
21177486,107.90,1023.00
21183918,108.21,1022.00
21190316,108.25,1023.00
21196730,108.00,1023.00
21205918,108.13,1023.00
21215107,108.18,1023.00
21224296,108.29,1023.00
21232098,108.11,1023.00
21238496,108.19,1023.00
21246999,108.16,1023.00
21254116,108.19,1023.00
21261901,108.37,1023.00
21268317,108.17,1022.00
21276798,108.36,1023.00
21284587,108.32,1023.00
21289616,108.34,1022.00
21296716,108.37,1022.00
21299472,108.36,1023.00
21305871,108.45,1022.00
21310882,108.55,1023.00
21317280,108.53,1023.00
21323686,108.57,1022.00
21332876,108.27,1022.00
21334930,108.68,1022.00
21342715,108.37,1023.00
21347066,108.55,1022.00
21350508,108.59,1023.00
21356221,108.45,1021.00
21363305,108.50,1023.00
21369018,108.47,1023.00
21376837,108.45,1022.00
21384634,108.55,1023.00
21390330,108.42,1022.00
21397414,108.65,1022.00
21401742,108.58,1023.00
21408162,108.53,1023.00
21414578,108.66,1023.00
21420976,108.51,1023.00
21428060,108.59,1023.00
21437232,108.55,1022.00
21442244,108.52,1022.00
21447256,108.52,1023.00
21454340,108.69,1023.00
21462828,108.68,1023.00
21469227,108.69,1023.00
21471130,108.51,1022.00
21476844,108.65,1022.00
21483268,108.71,1023.00
21491081,108.61,1022.00
21495391,108.83,1023.00
21503177,108.74,1023.00
21509583,108.67,1023.00
21515297,108.69,1022.00
21518054,108.70,1023.00
21523734,108.56,1023.00
21529419,108.67,1022.00
21535133,108.56,1023.00
21542217,108.69,1023.00
21550722,108.73,1022.00
21556435,108.83,1023.00
21562834,108.85,1023.00
21569217,108.68,1022.00
21578390,108.90,1022.00
21585507,108.77,1022.00
21588263,108.66,1022.00
21593961,108.59,1021.00
21602443,108.75,1023.00
21605884,108.84,1023.00
21612300,108.75,1023.00
21621489,108.75,1023.00
21627889,108.86,1022.00
21634956,108.70,1022.00
21642057,108.74,1023.00
21647077,108.98,1023.00
21653509,108.82,1023.00
21661279,108.83,1023.00
21664726,108.75,1023.00
21673938,108.71,1023.00
21676545,108.78,1022.00
21681557,108.83,1023.00
21688641,108.80,1023.00
21695074,108.78,1023.00
21702141,108.86,1023.00
21707883,108.68,1023.00
21713613,108.82,1023.00
21723438,108.99,1023.00
21726879,108.77,1022.00
21733262,109.04,1022.00
21741733,108.79,1023.00
21748851,108.76,1023.00
21754565,108.80,1023.00
21762351,108.83,1023.00
21771557,108.92,1022.00
21776570,108.87,1023.00
21784389,109.08,1023.00
21792843,108.80,1023.00
21797878,108.79,1023.00
21804277,109.01,1023.00
21810660,108.88,1023.00
21817083,108.94,1023.00
21824212,109.02,1022.00
21832015,108.89,1023.00
21839835,109.02,1023.00
21846960,109.00,1023.00
21854763,108.97,1023.00
21862565,108.92,1022.00
21874529,109.00,1022.00
21880928,109.00,1023.00
21890117,108.81,1023.00
21900009,109.16,1023.00
21907110,109.05,1023.00
21916283,108.95,1023.00
21923351,109.02,1022.00
21932558,108.91,1023.00
21942416,109.01,1023.00
21949517,109.10,1023.00
21958023,109.00,1022.00
21963070,109.00,1023.00
21970867,109.04,1022.00
21979322,108.87,1023.00
21987843,108.95,1023.00
21994910,109.15,1023.00
22001995,109.30,1023.00
22008395,109.17,1023.00
22014812,109.17,1022.00
22024042,109.20,1023.00
22031830,109.12,1023.00
22038897,109.52,1023.00
22046684,109.19,1023.00
22054478,109.26,1023.00
22064370,109.31,1022.00
22069400,109.10,1023.00
